OasisID,class_label_en,continent5,area_km2,block_250km,block_500km,block_1000km,ghsl_qc,ai_qc,terraclimate_qc,jrc_qc,utci_qc,nex_qc,nex_method,futurepop_coverage,pop_2020_ghsl,pop_density_per_km2_polygon_area,built_s_share_of_polygon_area,ai_scaled,terraclimate_def_1991_2020_mean_annual_mm,ever_water_fraction,utci_mean_annual_days_max_ge_32c,utci_mean_annual_days_min_le_minus13c,nex_ssp245_2041_2070_tasmax_delta_1995_2014_median,nex_ssp245_2041_2070_tasmin_delta_1995_2014_median,nex_ssp245_2041_2070_pr_delta_1995_2014_median,nex_ssp245_2071_2099_tasmax_delta_1995_2014_median,nex_ssp245_2071_2099_tasmin_delta_1995_2014_median,nex_ssp245_2071_2099_pr_delta_1995_2014_median,nex_ssp585_2041_2070_tasmax_delta_1995_2014_median,nex_ssp585_2041_2070_tasmin_delta_1995_2014_median,nex_ssp585_2041_2070_pr_delta_1995_2014_median,nex_ssp585_2071_2099_tasmax_delta_1995_2014_median,nex_ssp585_2071_2099_tasmin_delta_1995_2014_median,nex_ssp585_2071_2099_pr_delta_1995_2014_median,pop_ssp2_2050,pop_ssp2_2080,pop_ssp5_2050,pop_ssp5_2080,et0_qc,et0_v31_yr_raw_valid_pixel_count,et0_v31_yr_raw_area_weighted_mean_raw,et0_v31_yr_sd_raw_valid_pixel_count,et0_v31_yr_sd_raw_area_weighted_mean_raw
ASIR09218,BWk oases,Asia,6.456383,EE8857_250km_20_15,EE8857_500km_10_7,EE8857_1000km_5_3,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.7236468883357099,179.435324,27.79192684201045,0.0057987576015859,0.0755818490397,1389.4240422456216,0.0013240817920324,55.16666666666666,20.766666666666666,2.053131103515625,1.953155517578125,0.0360219739377498,2.9425048828125,2.586883544921875,0.0434121824800968,2.980560302734375,2.9659423828125,0.0567237325012683,5.457611083984375,5.028579711914063,0.0351106412708759,321.26405904868227,259.0179053025321,335.9303160964652,312.06361707557835,pass_center_pixel_raw_unit_caution,11,1678.72659399,11,64.454497022
ASIR09243,BWk oases,Asia,3.362255,EE8857_250km_20_15,EE8857_500km_10_7,EE8857_1000km_5_3,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_with_fallback,representative_point_fallback,0.8751702186835797,414.616561,123.31502548141052,0.0257318377101082,0.0748999647481,1394.714244907184,0.0011540270229641,55.16666666666666,20.766666666666666,2.053131,1.9531555,0.036021974,2.942505,2.5868835,0.043412182,2.9805603,2.9659424,0.05581308,5.457611,5.132309,0.03511064,600.42476992621,532.8638795104987,616.7272928402188,590.7829581176474,pass_center_pixel_raw_unit_caution,5,1680.400802402,5,65.400030217
ASIR07033,BWh oases,Asia,598.190849,EE8857_250km_20_14,EE8857_500km_10_7,EE8857_1000km_5_3,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.4524941736767223,126801.406732,211.9748353622842,0.0031619056078204,0.1238474654459,1586.1348995389935,0.000125304628464,191.3333333333333,1.5666666666666669,2.0863017510930333,1.890165276483658,0.0500482715187816,2.8700988489553465,2.6645330026609084,0.0378278191286831,2.925512471330275,2.843168206171158,0.0688173303705289,5.1667493767694594,5.126984622500359,0.0689920559354604,31115.597032119,29296.44223464501,31580.78158022605,30877.79406717075,pass_center_pixel_raw_unit_caution,797,2008.151075194,797,70.397449381
ASIR09084,non-BW oases,Asia,121.423818,EE8857_250km_20_14,EE8857_500km_10_7,EE8857_1000km_5_3,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.323719986218088,1279.17856,10.534824065571716,0.0026074538357869,0.1072811273684,1392.9464538161617,0.0001744281196018,119.9,38.53333333333333,2.114345296223959,1.904743109809028,0.063835448357794,2.9191921657986115,2.6225789388020835,0.0581427533593442,2.947732883029514,2.865302191840278,0.0848389913638432,5.244050767686632,5.039705403645834,0.0978338542911741,6753.316663868052,6465.16072177546,6829.24506276664,6717.925981334505,pass_center_pixel_raw_unit_caution,161,1726.793641499,161,63.471982673
ASIR09029,BWk oases,Asia,709.888782,EE8857_250km_20_14,EE8857_500km_10_7,EE8857_1000km_5_3,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.5450818783337089,46943.740373,66.12830285998237,0.006367060748961,0.0791298115971,1437.1715286730948,0.0002995904425754,52.766666666666666,74.0,2.072143219329498,1.9447404910356567,0.0525154533349114,2.962598304608804,2.491144424829728,0.0636988258732981,2.971112429440677,2.8640506730411524,0.0701481402466148,5.442100944099845,5.015351850907883,0.0880336893838404,75789.29482445592,71996.68517525143,76827.30988335237,75343.84804455555,pass_center_pixel_raw_unit_caution,945,1735.322754376,945,66.3129193
ASIR07184,BWh oases,Asia,46.758411,EE8857_250km_19_14,EE8857_500km_9_7,EE8857_1000km_4_3,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.2035550736121447,842.811993,18.024821095823807,0.0032555853961761,0.1194590692271,1703.5241501772498,0.0052706672623397,212.3,0.2,2.0097013774671053,1.900761654502468,0.0487807455815767,2.834008467824836,2.6671608372738485,0.0336350163346842,2.852767141241776,2.8514717503597864,0.0631519846226039,5.085743151212993,5.107350399619654,0.0136092175778589,1826.299415655156,1740.8945019591804,1850.0786753953416,1817.4312982254444,pass_center_pixel_raw_unit_caution,61,2167.393243876,61,72.934435854
ASIR07339,non-BW oases,Asia,10.396859,EE8857_250km_19_14,EE8857_500km_9_7,EE8857_1000km_4_3,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.5456469306740289,52.407552,5.040710083689699,0.0007835058646077,0.1255769301002,1586.7269656029082,0.0034380613975525,190.1,0.3333333333333333,2.0772705078125,1.878875732421875,0.0667118802666664,2.920989990234375,2.6597900390625,0.0347963199019432,2.912872314453125,2.8333740234375,0.080267459154129,5.16729736328125,5.074127197265625,0.0438675135374069,86.3407531779441,72.78512655003891,90.03433373494457,84.888152290593,pass_center_pixel_raw_unit_caution,13,2020.769112307,13,72.846151972
ASIR09055,BWh oases,Asia,267.953866,EE8857_250km_19_14,EE8857_500km_9_7,EE8857_1000km_4_3,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.3510328102288446,7751.116659,28.92705664116076,0.0042569902686158,0.1204827489554,1515.0590981789862,0.0212749981738135,149.16666666666666,7.6,2.0831635377117403,1.9040013963931075,0.0815032205291997,2.9419447283878504,2.5540015675197134,0.0545303063971973,2.919914459513726,2.8406449077285334,0.0883521450874961,5.23377334737332,5.014498701719479,0.1115552587347609,16966.543234921763,15934.302586831716,17251.616871622475,16857.68241351993,pass_center_pixel_raw_unit_caution,347,1922.62759625,347,72.063011774
ASIR09095,non-BW oases,Asia,92.953428,EE8857_250km_19_15,EE8857_500km_9_7,EE8857_1000km_4_3,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.6911474992703204,17897.020307,192.53749637936968,0.0198810311761713,0.0980516570793,1439.562574360942,0.0009771555772577,115.4,22.9,2.0543212890625,1.8674065085018383,0.0767354174133609,2.9713924632352944,2.541091021369485,0.0812600046834525,2.9350971895105697,2.777672711540671,0.0806221497409484,5.4548187255859375,4.928655287798714,0.0558954578112153,23941.857494055148,22837.998269609587,24244.81076745293,23812.649029249704,pass_center_pixel_raw_unit_caution,128,1790.341005569,128,70.468699166
ASIR09192,non-BW oases,Asia,11.022791,EE8857_250km_18_15,EE8857_500km_9_7,EE8857_1000km_4_3,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.6123871667680622,1060.986468,96.25388597134793,0.0055989449496048,0.1440870525292999,1117.4803326234935,0.0,63.833333333333336,66.46666666666667,2.073272705078125,1.88079833984375,0.0943048968911171,2.985382080078125,2.704376220703125,0.0638473108410835,2.944580078125,2.8352813720703125,0.0609669499099254,5.38055419921875,5.076568603515625,0.0291019938886165,995.174341351177,936.8432168731948,1011.315416305008,989.0616495241464,pass_center_pixel_raw_unit_caution,15,1542.39723664,15,64.133242529
ASIR04011,non-BW oases,Asia,75.491674,EE8857_250km_18_15,EE8857_500km_9_7,EE8857_1000km_4_3,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.8421735063310731,2340.788629,31.00724232184864,0.005746858918508,0.1488415450371,1201.638777032309,0.0006958678646417,73.13333333333334,50.2,2.059168322332974,1.8775024414062496,0.0981676963896587,2.988109720164332,2.688059839709052,0.0404063537716865,2.9540736757475754,2.814799341662177,0.0698433758626724,5.393854601629849,5.133823263234104,0.0228544329132499,10067.79709746454,9013.235162510464,10372.330474083228,9968.001224814549,pass_center_pixel_raw_unit_caution,95,1626.661786894,95,67.968307599
