fact_id,fact_role,domain,comparison,estimand,statistic,unit,n_bwh,n_bwk,estimate_bwh,estimate_bwk,effect_bwh_minus_bwk,effect_scale,ci95_low,ci95_high,fdr_q,support_class,sensitivity_summary,display_precision_policy,baseline_id
F04-PRIMARY-11,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp245_2041_2070_tasmin_patch_median_difference,median_difference,degC,1822,742,1.8070374,1.9699478149414065,-0.16291041494140646,BWh - BWk,-0.2697743823642113,-0.04849704897460916,0.006663334999167083,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-12,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp245_2041_2070_pr_patch_median_difference,median_difference,mm day-1,1822,742,0.0065995603799819,0.0365225337445735,-0.029922973364591602,BWh - BWk,-0.042576638839443307,-0.015068322001025097,0.0017134289997858213,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-13,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp245_2071_2099_tasmax_patch_median_difference,median_difference,degC,1822,742,2.6540222,2.890838623046875,-0.236816423046875,BWh - BWk,-0.3387837635387074,-0.11568982049449617,0.0017134289997858213,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-14,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp245_2071_2099_tasmin_patch_median_difference,median_difference,degC,1822,742,2.54180908203125,2.7687378,-0.2269287179687498,BWh - BWk,-0.36465589637586804,-0.03188323974609379,0.013193403298350826,sensitive,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=False | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-15,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp245_2071_2099_pr_patch_median_difference,median_difference,mm day-1,1822,742,0.0,0.045955278,-0.045955278,BWh - BWk,-0.05989352624629883,-0.027687796540730197,0.0017134289997858213,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-16,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp585_2041_2070_tasmax_patch_median_difference,median_difference,degC,1822,742,2.679295793364319,2.9115295,-0.232233706635681,BWh - BWk,-0.353733950298646,-0.11927163117569935,0.0029985007496251873,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-17,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp585_2041_2070_tasmin_patch_median_difference,median_difference,degC,1822,742,2.664581298828125,2.8836212158203125,-0.2190399169921875,BWh - BWk,-0.34742856342839357,-0.018737032963867705,0.03380128117759302,sensitive,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=False | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-18,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp585_2041_2070_pr_patch_median_difference,median_difference,mm day-1,1822,742,0.0036804676055908,0.0477703809738159,-0.0440899133682251,BWh - BWk,-0.05768855043855992,-0.02226716666958851,0.0017134289997858213,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-19,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp585_2071_2099_tasmax_patch_median_difference,median_difference,degC,1822,742,4.8734283447265625,5.3979339599609375,-0.524505615234375,BWh - BWk,-0.7058956199632216,-0.33136483800110084,0.0017134289997858213,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-20,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp585_2071_2099_tasmin_patch_median_difference,median_difference,degC,1822,742,4.879898,5.114173889160156,-0.2342758891601564,BWh - BWk,-0.5234985361865234,0.03126707514294574,0.111944027986007,not_supported,spatial scales: 250 km direction_agrees=True; support_agrees=False; 1000 km direction_agrees=True; support_agrees=True | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
