OasisID,continent,exact_background_class,background_class,extraction_method,nex_ssp245_2041_2070_tasmax_delta_1995_2014_median,nex_ssp245_2041_2070_tasmin_delta_1995_2014_median,nex_ssp245_2041_2070_pr_delta_1995_2014_median,nex_ssp245_2071_2099_tasmax_delta_1995_2014_median,nex_ssp245_2071_2099_tasmin_delta_1995_2014_median,nex_ssp245_2071_2099_pr_delta_1995_2014_median,nex_ssp585_2041_2070_tasmax_delta_1995_2014_median,nex_ssp585_2041_2070_tasmin_delta_1995_2014_median,nex_ssp585_2041_2070_pr_delta_1995_2014_median,nex_ssp585_2071_2099_tasmax_delta_1995_2014_median,nex_ssp585_2071_2099_tasmin_delta_1995_2014_median,nex_ssp585_2071_2099_pr_delta_1995_2014_median
ASCN12154,Asia,BWk_background,BWk oases,polygon_reducer,1.95648193359375,1.956298828125,0.0667211562395095,3.008209228515625,2.796844482421875,0.1063560545444488,2.860733032226562,2.745697021484375,0.1009686663746833,5.493667602539063,4.970565795898438,0.1909796148538589
ASCN12030,Asia,BWk_background,BWk oases,polygon_reducer,1.982739616842831,1.967572380514706,0.0886445821208112,3.012404497931985,2.835357666015625,0.1101730912923812,2.915479772231158,2.698665843290441,0.1177173502304974,5.46718552533318,5.04965030445772,0.2360289429917055
ASCN12088,Asia,BWk_background,BWk oases,polygon_reducer,2.058441162109375,2.034088134765625,0.0252496618777513,2.970977783203125,2.784912109375,0.025410957634449,2.907135009765625,2.849395751953125,0.0239526331424713,5.4766845703125,5.14495849609375,0.0537326820194721
ASCN12066,Asia,BWk_background,BWk oases,polygon_reducer,1.909881591796875,1.924163818359375,0.0157505460083484,2.94647216796875,2.94903564453125,0.0179501082748174,2.984573364257812,2.923553466796875,0.0151871684938669,5.361709594726562,5.079147338867188,0.0271538645029068
ASCN12079,Asia,BWk_background,BWk oases,polygon_reducer,1.948822021484375,1.948760986328125,0.0205919779837131,2.974609375,2.92034912109375,0.0211508423089981,2.969253540039062,2.930953979492188,0.0196754857897758,5.350112915039063,5.053176879882812,0.0387766547501087
ASCN12195,Asia,BWk_background,BWk oases,representative_point_fallback,1.895935,1.9216614,0.013564598,2.905487,2.9061584,0.015356318,2.9709015,2.904358,0.010821628,5.413254,5.138733,0.016155578
ASCN12057,Asia,BWk_background,BWk oases,polygon_reducer,1.981889204545454,1.989293878728693,0.0296198307451876,2.994315407492897,2.863869406960227,0.0313844460655342,2.96562333540483,2.905928178267045,0.0402539829638871,5.413816972212358,5.029130415482955,0.0731898241422393
ASCN12157,Asia,BWk_background,BWk oases,polygon_reducer,1.921234130859375,1.918914794921875,0.0096065448597073,2.88861083984375,2.747039794921875,0.0057789161801338,2.8302001953125,2.877609252929688,0.0087343230843544,5.397933959960938,5.17572021484375,0.0044885580427944
ASCN13001,Asia,BWk_background,BWk oases,polygon_reducer,2.150190213360364,2.316865790644778,0.0632295853918111,2.862404429761669,2.873367039161392,0.1008836206001571,2.844528545910799,3.028298872935621,0.1056377269044707,5.219137920910799,5.293539351451246,0.1490617151879057
ASCN12027,Asia,BWk_background,BWk oases,polygon_reducer,2.121288299560548,2.161829812186105,0.081953276214855,2.873941693987165,2.940612248011998,0.1007567809096404,2.833925247192383,3.094550813947405,0.093684256608997,5.236584254673549,5.397403989519392,0.2332991433462926
ASCN15013,Asia,BWk_background,BWk oases,polygon_reducer,2.122701184502964,2.175939625707166,0.0469329570387971,2.8702392578125,2.86181798474542,0.0721723555490888,2.86468558475889,3.015028328731142,0.0686055951077362,5.258169239964978,5.356398746885102,0.1008804620339952
ASCN15002,Asia,BWk_background,BWk oases,polygon_reducer,2.051407642853566,2.208809290176783,0.0405555696566947,2.865402564024314,2.928362039419321,0.047768336505844,2.834497940845979,3.097555258335212,0.0501402007977072,5.198678138928536,5.472992774767755,0.0669203850989922
ASCN15015,Asia,BWk_background,BWk oases,polygon_reducer,2.058807373046875,2.166229248046875,0.0205444376915693,2.84332275390625,2.901031494140625,0.0310599207878112,2.837203979492188,3.054473876953125,0.0295725725591182,5.299880981445312,5.717559814453125,0.0374305956065654
ASCN15009,Asia,BWk_background,BWk oases,polygon_reducer,2.032021228178048,2.174431694878472,0.0403535543584529,2.856548544801312,2.912456371166088,0.0450264333666842,2.786225118754823,3.020505551938658,0.0531925249062938,5.219194953824268,5.403880366572628,0.0744507390959763
ASCN12121,Asia,BWk_background,BWk oases,polygon_reducer,1.8797607421875,2.0740966796875,0.0642598420381546,2.912200927734375,2.885833740234375,0.0842964723706245,2.883621215820312,2.913375854492188,0.0860630571842193,5.313201904296875,5.27935791015625,0.1770364940166473
ASCN12099,Asia,BWk_background,BWk oases,polygon_reducer,1.959335327148437,2.033004760742188,0.0481676962226629,2.879043579101563,2.835464477539062,0.0589676108211278,2.8304443359375,2.795249938964844,0.0637856815010309,5.259757995605469,5.204177856445312,0.1367397941648959
ASCN12214,Asia,BWk_background,BWk oases,representative_point_fallback,1.9138184,2.0339966,0.052407313,2.8749084,2.785553,0.057521734,2.829544,2.7960815,0.06697126,5.244278,5.161621,0.12828994
ASCN12218,Asia,BWk_background,BWk oases,polygon_reducer,1.95880126953125,2.125244140625,0.0748709961771965,2.921905517578125,2.80743408203125,0.0885204374790191,2.873672485351562,3.006210327148437,0.0852780491113662,5.282150268554688,5.470840454101562,0.1728279292583465
ASCN12177,Asia,BWk_background,BWk oases,representative_point_fallback,1.9588013,2.1252441,0.082652986,2.9219055,2.807434,0.08852044,2.8736725,3.0062103,0.08527805,5.2821503,5.3862915,0.17282793
ASCN12029,Asia,BWk_background,BWk oases,polygon_reducer,2.085460844494047,1.940031505766369,0.045515083131336,2.820008777436756,2.787931169782366,0.0482251452548163,2.949288867768787,2.87623051234654,0.0427787848526523,5.275364103771391,5.170049758184524,0.0873549516711916
