OasisID,continent,exact_background_class,background_class,polygon_area_km2
ASCN12017,Asia,BWk_background,BWk oases,296.683996
ASCN15006,Asia,BWk_background,BWk oases,522.562595
ASCN15016,Asia,BWk_background,BWk oases,54.089827
ASCN15004,Asia,BWk_background,BWk oases,961.446024
ASCN15007,Asia,BWk_background,BWk oases,367.580724
ASCN15003,Asia,BWk_background,BWk oases,1338.957217
ASCN15014,Asia,BWk_background,BWk oases,125.779642
ASCN15018,Asia,BWk_background,BWk oases,38.974916
ASCN15008,Asia,BWk_background,BWk oases,225.465293
ASCN17022,Asia,BWk_background,BWk oases,25.820889
ASCN17021,Asia,BWk_background,BWk oases,28.88808
ASCN17093,Asia,BWk_background,BWk oases,1.041787
ASCN17084,Asia,BWk_background,BWk oases,1.268918
ASCN17078,Asia,BWk_background,BWk oases,1.427453
ASCN17028,Asia,BWk_background,BWk oases,11.525822
ASCN17040,Asia,non_BWh_BWk_background,non-BW oases,6.714559
ASCN17058,Asia,non_BWh_BWk_background,non-BW oases,3.046511
ASCN17062,Asia,non_BWh_BWk_background,non-BW oases,2.697896
ASCN17087,Asia,BWk_background,BWk oases,1.214683
ASCN17082,Asia,BWk_background,BWk oases,1.343041
ASCN12237,Asia,BWk_background,BWk oases,1.259879
ASCN12256,Asia,BWk_background,BWk oases,1.062422
ASCN12044,Asia,BWk_background,BWk oases,49.416506
ASCN12161,Asia,BWk_background,BWk oases,3.283828
ASCN12151,Asia,BWk_background,BWk oases,3.807768
ASCN12106,Asia,BWk_background,BWk oases,8.339122
ASCN17091,Asia,non_BWh_BWk_background,non-BW oases,1.098536
ASCN12180,Asia,BWk_background,BWk oases,2.51255
ASCN12095,Asia,BWk_background,BWk oases,9.465585
ASCN02002,Asia,BWk_background,BWk oases,887.360169
ASCN12223,Asia,BWk_background,BWk oases,1.359533
ASCN12229,Asia,BWk_background,BWk oases,1.312605
ASCN17056,Asia,BWk_background,BWk oases,3.472447
ASCN17036,Asia,BWk_background,BWk oases,7.221958
ASCN17068,Asia,BWk_background,BWk oases,2.077511
ASCN17051,Asia,BWk_background,BWk oases,4.531798
ASCN17090,Asia,BWk_background,BWk oases,1.135183
ASCN12232,Asia,BWk_background,BWk oases,1.294043
ASCN12236,Asia,BWk_background,BWk oases,1.266843
ASCN12200,Asia,BWk_background,BWk oases,1.85134
ASCN12051,Asia,BWk_background,BWk oases,37.938045
ASCN12160,Asia,BWk_background,BWk oases,3.344686
ASCN12109,Asia,BWk_background,BWk oases,8.058773
ASCN12204,Asia,BWk_background,BWk oases,1.810042
ASCN12074,Asia,BWk_background,BWk oases,17.049192
ASCN12048,Asia,BWk_background,BWk oases,40.185457
ASCN12111,Asia,BWk_background,BWk oases,7.525834
ASCN12152,Asia,BWk_background,BWk oases,3.742021
ASCN12014,Asia,BWk_background,BWk oases,615.446023
ASCN12114,Asia,BWk_background,BWk oases,7.015943
ASCN12241,Asia,BWk_background,BWk oases,1.177063
ASCN17004,Asia,BWk_background,BWk oases,4102.613137
ASCN17047,Asia,BWk_background,BWk oases,5.39218
ASCN17015,Asia,BWk_background,BWk oases,67.196158
ASCN12230,Asia,BWk_background,BWk oases,1.310021
ASCN12185,Asia,BWk_background,BWk oases,2.190536
ASCN12258,Asia,BWk_background,BWk oases,1.026957
ASCN12076,Asia,BWk_background,BWk oases,15.765246
ASCN12193,Asia,BWk_background,BWk oases,2.084311
ASCN12094,Asia,BWk_background,BWk oases,9.629522
ASCN12233,Asia,BWk_background,BWk oases,1.288417
ASCN12120,Asia,BWk_background,BWk oases,6.178464
ASCN12126,Asia,BWk_background,BWk oases,5.694845
ASCN12243,Asia,BWk_background,BWk oases,1.148036
ASCN12170,Asia,BWk_background,BWk oases,2.726512
ASCN12212,Asia,BWk_background,BWk oases,1.565468
ASCN12149,Asia,BWk_background,BWk oases,3.936986
ASCN12058,Asia,BWk_background,BWk oases,28.244936
ASCN12213,Asia,BWk_background,BWk oases,1.529131
ASCN12144,Asia,BWk_background,BWk oases,4.20737
ASCN12081,Asia,BWk_background,BWk oases,13.651076
ASCN12260,Asia,BWk_background,BWk oases,1.012595
ASCN12225,Asia,BWk_background,BWk oases,1.335799
ASCN12091,Asia,BWk_background,BWk oases,10.225778
ASCN12249,Asia,BWk_background,BWk oases,1.09655
ASCN12040,Asia,BWk_background,BWk oases,53.052019
ASCN12137,Asia,BWk_background,BWk oases,4.532872
ASCN12202,Asia,BWk_background,BWk oases,1.832299
ASCN12104,Asia,BWk_background,BWk oases,8.377441
ASCN12101,Asia,BWk_background,BWk oases,8.694365
ASCN12129,Asia,BWk_background,BWk oases,5.492441
ASCN12257,Asia,BWk_background,BWk oases,1.05298
ASCN12221,Asia,BWk_background,BWk oases,1.374768
ASCN12092,Asia,BWk_background,BWk oases,9.943894
ASCN12216,Asia,BWk_background,BWk oases,1.477405
ASCN12208,Asia,BWk_background,BWk oases,1.700391
ASCN12203,Asia,BWk_background,BWk oases,1.822915
ASCN12238,Asia,BWk_background,BWk oases,1.259821
ASCN17074,Asia,BWk_background,BWk oases,1.572551
ASCN17045,Asia,BWk_background,BWk oases,5.671375
ASCN17020,Asia,BWk_background,BWk oases,31.031892
ASCN17085,Asia,BWk_background,BWk oases,1.242082
ASCN17061,Asia,non_BWh_BWk_background,non-BW oases,2.828882
ASCN17063,Asia,non_BWh_BWk_background,non-BW oases,2.586713
ASCN17070,Asia,BWk_background,BWk oases,1.962323
ASCN17079,Asia,BWk_background,BWk oases,1.387859
ASCN17030,Asia,BWk_background,BWk oases,8.27603
ASCN17032,Asia,BWk_background,BWk oases,7.793593
ASCN17042,Asia,BWk_background,BWk oases,5.824901
ASCN17066,Asia,BWk_background,BWk oases,2.188307
ASCN17065,Asia,BWk_background,BWk oases,2.32732
ASCN17057,Asia,BWk_background,BWk oases,3.261522
ASCN17050,Asia,BWk_background,BWk oases,4.814489
ASCN17072,Asia,BWk_background,BWk oases,1.92312
ASCN17054,Asia,BWk_background,BWk oases,3.851963
ASCN17060,Asia,BWk_background,BWk oases,2.838383
ASCN17035,Asia,BWk_background,BWk oases,7.449862
ASCN17037,Asia,BWk_background,BWk oases,7.106418
ASCN17089,Asia,BWk_background,BWk oases,1.146444
ASCN17055,Asia,BWk_background,BWk oases,3.526541
ASCN17034,Asia,BWk_background,BWk oases,7.515995
ASCN17019,Asia,BWk_background,BWk oases,31.287918
ASCN17039,Asia,BWk_background,BWk oases,6.858599
ASCN17064,Asia,BWk_background,BWk oases,2.431042
ASCN17048,Asia,BWk_background,BWk oases,5.185555
ASCN17067,Asia,BWk_background,BWk oases,2.126655
ASCN17033,Asia,BWk_background,BWk oases,7.774973
ASCN17053,Asia,BWk_background,BWk oases,4.047877
ASCN17080,Asia,BWk_background,BWk oases,1.362202
ASCN17086,Asia,BWk_background,BWk oases,1.216012
ASCN17094,Asia,BWk_background,BWk oases,1.019007
ASCN17038,Asia,BWk_background,BWk oases,7.07941
ASCN17012,Asia,BWk_background,BWk oases,123.003139
ASCN17025,Asia,BWk_background,BWk oases,14.778275
ASCN17052,Asia,BWk_background,BWk oases,4.239443
ASCN17007,Asia,BWk_background,BWk oases,170.735691
ASCN15017,Asia,BWk_background,BWk oases,43.955812
ASCN15011,Asia,non_BWh_BWk_background,non-BW oases,167.716804
ASCN15023,Asia,non_BWh_BWk_background,non-BW oases,4.461945
ASCN15012,Asia,non_BWh_BWk_background,non-BW oases,159.411997
ASCN15019,Asia,non_BWh_BWk_background,non-BW oases,28.443421
ASCN15010,Asia,BWk_background,BWk oases,177.326943
ASCN15005,Asia,BWk_background,BWk oases,816.73086
ASCN15025,Asia,BWk_background,BWk oases,2.571185
ASCN15024,Asia,BWk_background,BWk oases,2.985561
ASCN15021,Asia,BWk_background,BWk oases,8.730296
ASCN15022,Asia,non_BWh_BWk_background,non-BW oases,6.526927
ASCN15020,Asia,BWk_background,BWk oases,11.748334
ASCN17005,Asia,BWk_background,BWk oases,387.124931
ASCN12005,Asia,BWk_background,BWk oases,2439.291768
ASCN12080,Asia,BWk_background,BWk oases,14.533546
ASCN02001,Asia,BWk_background,BWk oases,30043.725239
ASCN17073,Asia,BWk_background,BWk oases,1.672451
ASCN17031,Asia,BWk_background,BWk oases,7.79411
ASCN11099,Asia,BWk_background,BWk oases,1.384705
ASCN11059,Asia,BWk_background,BWk oases,5.568878
ASCN11068,Asia,BWk_background,BWk oases,3.761666
ASCN11080,Asia,BWk_background,BWk oases,2.566135
ASCN17049,Asia,BWk_background,BWk oases,5.021565
ASCN17018,Asia,BWk_background,BWk oases,33.706357
ASCN12033,Asia,BWk_background,BWk oases,72.917994
ASCN17023,Asia,BWk_background,BWk oases,18.554982
ASCN17010,Asia,BWk_background,BWk oases,143.145034
ASCN17016,Asia,BWk_background,BWk oases,57.528397
ASCN17027,Asia,BWk_background,BWk oases,11.535772
ASCN17006,Asia,BWk_background,BWk oases,189.548825
ASCN17017,Asia,BWk_background,BWk oases,56.561586
ASCN17088,Asia,BWk_background,BWk oases,1.1572
ASCN17077,Asia,BWk_background,BWk oases,1.467869
ASCN17029,Asia,BWk_background,BWk oases,8.32681
ASCN12259,Asia,BWk_background,BWk oases,1.026069
ASCN12077,Asia,BWk_background,BWk oases,14.848744
ASCN17046,Asia,non_BWh_BWk_background,non-BW oases,5.505284
ASCN17081,Asia,BWk_background,BWk oases,1.360399
ASCN17043,Asia,BWk_background,BWk oases,5.747106
ASCN02004,Asia,BWk_background,BWk oases,1.378998
ASCN02005,Asia,BWk_background,BWk oases,1.224418
ASCN17026,Asia,BWk_background,BWk oases,11.606138
ASCN02003,Asia,BWk_background,BWk oases,68.090464
ASCN17011,Asia,BWk_background,BWk oases,129.80617
ASCN17044,Asia,BWk_background,BWk oases,5.73066
ASCN17059,Asia,BWk_background,BWk oases,2.944611
ASCN17075,Asia,BWk_background,BWk oases,1.554649
ASCN17083,Asia,BWk_background,BWk oases,1.288404
ASCN17092,Asia,BWk_background,BWk oases,1.083591
ASCN17069,Asia,BWk_background,BWk oases,1.996376
ASCN17024,Asia,non_BWh_BWk_background,non-BW oases,16.683591
ASCN17041,Asia,non_BWh_BWk_background,non-BW oases,5.843253
ASCN17071,Asia,non_BWh_BWk_background,non-BW oases,1.946434
ASCN17076,Asia,BWk_background,BWk oases,1.474673
ASCN15001,Asia,BWk_background,BWk oases,30273.61067
ASCN17001,Asia,BWk_background,BWk oases,10883.435468
ASCN12009,Asia,BWk_background,BWk oases,1598.242655
ASCN12007,Asia,BWk_background,BWk oases,1860.136281
ASCN17003,Asia,BWk_background,BWk oases,4337.859446
ASCN17002,Asia,BWk_background,BWk oases,6846.012484
ASCN17013,Asia,BWk_background,BWk oases,92.645086
ASCN17014,Asia,BWk_background,BWk oases,77.321031
ASCN17008,Asia,BWk_background,BWk oases,162.832978
ASCN17009,Asia,BWk_background,BWk oases,156.635816
ASCN11038,Asia,non_BWh_BWk_background,non-BW oases,18.430246
ASCN11072,Asia,BWk_background,BWk oases,3.105761
ASCN11102,Asia,non_BWh_BWk_background,non-BW oases,1.239156
ASCN11056,Asia,non_BWh_BWk_background,non-BW oases,6.257976
ASCN11094,Asia,BWk_background,BWk oases,1.599938
ASCN11067,Asia,non_BWh_BWk_background,non-BW oases,3.796372
ASCN11095,Asia,non_BWh_BWk_background,non-BW oases,1.527997
ASCN11054,Asia,non_BWh_BWk_background,non-BW oases,6.398547
ASCN11075,Asia,non_BWh_BWk_background,non-BW oases,2.783449
ASCN11089,Asia,non_BWh_BWk_background,non-BW oases,1.933204
ASCN11097,Asia,non_BWh_BWk_background,non-BW oases,1.393197
ASCN11058,Asia,non_BWh_BWk_background,non-BW oases,5.69364
ASCN11053,Asia,non_BWh_BWk_background,non-BW oases,6.691346
ASCN11107,Asia,non_BWh_BWk_background,non-BW oases,1.01726
ASCN11100,Asia,non_BWh_BWk_background,non-BW oases,1.328558
ASCN11098,Asia,non_BWh_BWk_background,non-BW oases,1.386999
ASCN11092,Asia,non_BWh_BWk_background,non-BW oases,1.674683
ASCN11045,Asia,non_BWh_BWk_background,non-BW oases,9.204618
ASCN11069,Asia,non_BWh_BWk_background,non-BW oases,3.664988
ASCN11064,Asia,non_BWh_BWk_background,non-BW oases,4.396668
ASCN11093,Asia,non_BWh_BWk_background,non-BW oases,1.663839
ASCN11041,Asia,BWk_background,BWk oases,14.624717
ASCN11040,Asia,BWk_background,BWk oases,16.147737
ASCN11104,Asia,non_BWh_BWk_background,non-BW oases,1.153126
ASCN11083,Asia,non_BWh_BWk_background,non-BW oases,2.375998
ASCN11065,Asia,non_BWh_BWk_background,non-BW oases,3.978796
ASCN11087,Asia,non_BWh_BWk_background,non-BW oases,2.044731
ASCN11088,Asia,non_BWh_BWk_background,non-BW oases,2.00535
ASCN11078,Asia,non_BWh_BWk_background,non-BW oases,2.694205
ASCN11062,Asia,BWk_background,BWk oases,4.798166
ASCN11106,Asia,BWk_background,BWk oases,1.080692
ASCN11016,Asia,BWk_background,BWk oases,283.454733
ASCN11086,Asia,BWk_background,BWk oases,2.049372
ASCN11057,Asia,BWk_background,BWk oases,5.746092
