OasisID,continent,exact_background_class,background_class,polygon_area_km2,representative_longitude_deg_e,representative_latitude_deg_n
AFDZ42115,Africa,BWh_background,BWh oases,2.331477,-2.15971055252,31.6455941072
AFDZ43029,Africa,BWh_background,BWh oases,168.114485,3.70096386827,31.5720849044
AFDZ43138,Africa,BWh_background,BWh oases,11.582908,3.74339406638,31.7448568058
AFDZ42010,Africa,BWh_background,BWh oases,134.838726,-2.219087007,31.6259196917
AFDZ43181,Africa,BWh_background,BWh oases,6.433662,3.75831214383,31.8022403757
AFDZ43313,Africa,BWh_background,BWh oases,1.636828,5.37457604513,31.8261351683
AFDZ43294,Africa,BWh_background,BWh oases,2.054619,3.779443408,31.8424688248
AFDZ43261,Africa,BWh_background,BWh oases,2.786324,3.85005249641,31.9086414666
AFDZ42097,Africa,BWh_background,BWh oases,3.862808,-2.46471122159,31.9192281952
AFDZ43004,Africa,BWh_background,BWh oases,839.984991,6.05210142483,31.7162990661
AFDZ42108,Africa,BWh_background,BWh oases,2.838336,-1.83535303012,31.9353813338
AFDZ43183,Africa,BWh_background,BWh oases,6.322594,3.77838542739,31.944132967
AFDZ43252,Africa,BWh_background,BWh oases,3.024157,3.74956976291,31.98016361
AFDZ42131,Africa,BWh_background,BWh oases,1.599228,-1.25261538451,31.9872312645
AFDZ43228,Africa,BWh_background,BWh oases,3.65355,3.7893832213,32.0130766584
AFDZ42112,Africa,BWh_background,BWh oases,2.525119,-1.35911350544,32.0150418986
AFDZ42138,Africa,BWh_background,BWh oases,1.264274,-1.33260357942,32.0347028236
AFDZ42042,Africa,BWh_background,BWh oases,16.867386,-1.25411186251,32.0271109519
AFDZ43110,Africa,BWh_background,BWh oases,18.504862,3.82275618694,32.0702940479
AFDZ42124,Africa,BWh_background,BWh oases,1.736022,-0.992824613354,32.1439696119
AFDZ43065,Africa,BWh_background,BWh oases,47.568797,3.55744084796,32.1754776783
AFDZ43131,Africa,BWh_background,BWh oases,12.787426,5.41362861529,32.2225115703
AFDZ43165,Africa,BWh_background,BWh oases,7.94629,3.80848028973,32.2657894172
AFDZ43180,Africa,BWh_background,BWh oases,6.474363,3.6444927871,32.3046072452
AFDZ43074,Africa,BWh_background,BWh oases,42.605772,5.8708801195,32.3287607973
AFDZ43038,Africa,BWh_background,BWh oases,98.272931,5.64966509127,32.3090692363
AFDZ43081,Africa,BWh_background,BWh oases,32.581853,3.59034963704,32.3018216106
AFDZ43098,Africa,BWh_background,BWh oases,22.598893,4.23414903487,32.3798613442
AFDZ42027,Africa,BWh_background,BWh oases,34.170446,-0.873275577911,32.323928614
AFDZ43238,Africa,BWh_background,BWh oases,3.371615,4.01903526787,32.391398756
AFDZ43289,Africa,BWh_background,BWh oases,2.210248,4.24596820899,32.4076054889
AFDZ42088,Africa,BWh_background,BWh oases,4.882498,0.303238420849,32.4123668836
AFDZ43279,Africa,BWh_background,BWh oases,2.381205,4.23038133992,32.422953599
AFDZ43265,Africa,BWh_background,BWh oases,2.754632,4.18181184662,32.4491838114
AFDZ43234,Africa,BWh_background,BWh oases,3.479584,4.18276766758,32.4878551662
AFDZ42048,Africa,BWh_background,BWh oases,14.52702,-0.683016332238,32.4810043507
AFDZ42052,Africa,BWh_background,BWh oases,13.949817,-0.459443327868,32.4723646638
AFDZ42092,Africa,BWh_background,BWh oases,4.192808,-0.560414416831,32.5223330968
AFDZ43102,Africa,BWh_background,BWh oases,21.826867,5.69883450029,32.5780738379
AFDZ43030,Africa,BWh_background,BWh oases,166.832878,3.68915941379,32.4762226659
AFDZ43305,Africa,BWh_background,BWh oases,1.845879,5.67815948456,32.6400253865
AFDZ43246,Africa,BWh_background,BWh oases,3.152134,4.75156836839,32.6901846136
AFDZ43108,Africa,BWh_background,BWh oases,18.761274,5.43060528102,32.7074521164
AFDZ43036,Africa,BWh_background,BWh oases,120.194401,5.53578155361,32.62593229
AFDZ42044,Africa,mixed_BWh_BWk,BWh/BWk oases,15.933504,-0.435794444575,32.7656361268
AFDZ42113,Africa,mixed_BWh_BWk,BWh/BWk oases,2.400739,-0.525988736887,32.7759553996
AFDZ43096,Africa,BWh_background,BWh oases,24.458332,5.52238693439,32.7500044729
AFDZ42013,Africa,mixed_BWh_BWk,BWh/BWk oases,83.658922,-0.696323909591,32.7215390784
AFDZ43058,Africa,BWh_background,BWh oases,51.419143,4.52180385272,32.7626842281
AFDZ42071,Africa,BWh_background,BWh oases,6.746282,-0.443439013939,32.7972341204
AFDZ43082,Africa,BWh_background,BWh oases,30.330327,3.74498269907,32.836658876
AFDZ42082,Africa,BWh_background,BWh oases,5.518673,0.0167725003218,32.8556091129
AFDZ42125,Africa,BWh_background,BWh oases,1.704582,0.48869276004,32.8957945993
AFDZ43331,Africa,BWh_background,BWh oases,1.306845,1.22225420999,32.9088940263
AFDZ42116,Africa,BWk_background,BWk oases,2.090634,-0.157333570779,32.9200866595
AFDZ43334,Africa,BWh_background,BWh oases,1.231621,1.3923992049,32.9269030918
AFDZ42028,Africa,BWk_background,BWk oases,32.307314,-0.627478292277,32.8643712913
AFDZ43333,Africa,BWh_background,BWh oases,1.28958,1.32347237746,32.9361553369
AFDZ43056,Africa,BWh_background,BWh oases,52.899047,5.54387099486,32.9025929916
AFDZ43355,Africa,BWh_background,BWh oases,1.0284,1.40814437998,32.955737879
