baseline_id,OasisID,continent,exact_background_class,background_class,polygon_area_km2,pop_ssp2_2050,pop_ssp2_2080,pop_ssp5_2050,pop_ssp5_2080,futurepop_analysis_method,futurepop_analysis_valid
analysis_release_3437,ASCN12177,Asia,BWk_background,BWk oases,2.589863,1.483366966247559,1.263139963150024,1.488057971000671,1.284271955490112,nearest_valid_grid,True
analysis_release_3437,ASCN12029,Asia,BWk_background,BWk oases,90.845283,2246.847951969801,1655.938143116825,2265.469378059848,1702.026600504828,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12210,Asia,BWk_background,BWk oases,1.636911,79.02650193489333,64.28216166822256,79.39595054147843,65.60380271075365,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12163,Asia,BWk_background,BWk oases,3.26237,198.780760944051,141.9479695520915,200.8609364491314,146.0943843823738,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12032,Asia,BWk_background,BWk oases,74.731375,92.41525274963726,57.78869838007148,93.75191588446728,60.15792534230761,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12038,Asia,BWk_background,BWk oases,58.399149,119.7904165455187,56.88255919702351,124.4140794536551,60.04819214344025,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12112,Asia,BWk_background,BWk oases,7.147633,17.05900573730469,7.562902927398682,17.58236312866211,8.082939147949219,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12148,Asia,BWk_background,BWk oases,4.010559,2.060033082962036,1.730319976806641,2.067495107650757,1.761216998100281,nearest_valid_grid,True
analysis_release_3437,ASCN12171,Asia,BWk_background,BWk oases,2.709145,2.060033082962036,1.730319976806641,2.067495107650757,1.761216998100281,nearest_valid_grid,True
analysis_release_3437,ASCN12052,Asia,BWk_background,BWk oases,35.182569,73.6898983074712,55.49494934082031,74.36180723534892,56.72069549560547,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12162,Asia,BWk_background,BWk oases,3.27223,93.63080103915468,60.5266733935239,94.87776860592096,62.9264120789974,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12255,Asia,BWk_background,BWk oases,1.064974,13.014839894334,8.836216409502281,13.1454614597388,9.16757171778776,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12085,Asia,BWk_background,BWk oases,11.253027,50.8038458913075,34.46336787593894,51.48520223270891,35.47473292202043,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12067,Asia,BWk_background,BWk oases,21.002887,777.283966540029,558.4882493198382,784.9131822924063,574.7329257260095,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12179,Asia,BWk_background,BWk oases,2.538176,4.990918159484863,0.2705990076065063,5.260661125183105,0.4440500140190124,nearest_valid_grid,True
analysis_release_3437,ASCN12118,Asia,BWk_background,BWk oases,6.356873,107.429633126172,66.69858921952786,109.2080278014823,69.29161435609414,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12075,Asia,BWk_background,BWk oases,16.201366,22.54277420043945,19.15583229064941,22.61560249328613,19.4795150756836,nearest_valid_grid,True
analysis_release_3437,ASCN12130,Asia,BWk_background,BWk oases,5.24048,1.833103268347069,1.45000018727644,1.844297352666155,1.482467275556517,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12110,Asia,BWk_background,BWk oases,7.771828,1845.008616854221,1387.669647565099,1858.194563154425,1425.358799587361,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12031,Asia,BWk_background,BWk oases,77.486249,38046.30954102797,29942.21499450789,38296.18410841,30589.56768468694,polygon_fractional_aggregation,True
